[2022-06-29 23:56:47.808] [renderer1] [warning] Skipping extension /home/i0xfce/.vscode-oss/extensions/ms-vscode.references-view-0.0.89 with lower version 0.0.89.
[2022-06-29 23:56:47.808] [renderer1] [critical] Extension 'ms-python.python CANNOT USE these API proposals 'quickPickSortByLabel, testObserver, notebookEditor'. You MUST start in extension development mode or use the --enable-proposed-api command line flag
[2022-06-29 23:56:50.835] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.await-in-sync.
[2022-06-29 23:56:50.835] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.circle-doc-class.
[2022-06-29 23:56:50.835] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.close-non-object.
[2022-06-29 23:56:50.836] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.code-after-break.
[2022-06-29 23:56:50.836] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.codestyle-check.
[2022-06-29 23:56:50.836] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.count-down-loop.
[2022-06-29 23:56:50.836] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.deprecated.
[2022-06-29 23:56:50.836] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.different-requires.
[2022-06-29 23:56:50.836] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.discard-returns.
[2022-06-29 23:56:50.836] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.doc-field-no-class.
[2022-06-29 23:56:50.836] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.duplicate-doc-alias.
[2022-06-29 23:56:50.836] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.duplicate-doc-field.
[2022-06-29 23:56:50.836] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.duplicate-doc-param.
[2022-06-29 23:56:50.837] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.duplicate-set-field.
[2022-06-29 23:56:50.837] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.missing-parameter.
[2022-06-29 23:56:50.837] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.need-check-nil.
[2022-06-29 23:56:50.837] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.no-unknown.
[2022-06-29 23:56:50.837] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.not-yieldable.
[2022-06-29 23:56:50.837] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.redundant-return.
[2022-06-29 23:56:50.837] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.type-check.
[2022-06-29 23:56:50.837] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.unbalanced-assignments.
[2022-06-29 23:56:50.837] [renderer1] [warning] [/home/i0xfce/.vscode-oss/extensions/sumneko.lua-3.2.0]: Couldn't find message for key config.diagnostics.undefined-doc-class.
