2023-05-03 13:52:22.482 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-05-03 13:52:22.482 [info] Added views:workbench.panel.output in workbench.panel.output
2023-05-03 13:52:22.482 [info] Added views:terminal in terminal
2023-05-03 13:52:22.482 [info] Added views:outline in workbench.view.explorer
2023-05-03 13:52:22.482 [info] Added views:workbench.scm in workbench.view.scm
2023-05-03 13:52:22.482 [info] Added views:workbench.view.search in workbench.view.search
2023-05-03 13:52:22.482 [info] Added views:timeline in workbench.view.explorer
2023-05-03 13:52:22.482 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-05-03 13:52:22.718 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2023-05-03 13:52:23.137 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-05-03 13:52:23.139 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-05-03 13:52:23.139 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-05-03 13:52:23.612 [info] Added views:workbench.view.testing in workbench.view.extension.test
2023-05-03 13:52:41.001 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-05-03 13:52:46.191 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-05-03 13:52:46.247 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-05-03 13:53:25.201 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-05-03 13:53:25.220 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-05-03 13:53:28.029 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-05-03 13:53:28.072 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-05-03 13:54:53.709 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-05-03 13:54:53.728 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-05-03 13:54:54.724 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-05-03 13:54:54.769 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-05-03 13:55:12.051 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-05-03 13:55:12.074 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-05-03 13:55:13.137 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-05-03 13:55:13.178 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-05-03 13:55:14.002 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-05-03 13:55:14.016 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-05-03 13:55:26.243 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-05-03 13:55:26.284 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-05-03 13:55:27.112 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-05-03 13:55:27.127 [info] Added views:workbench.debug.welcome in workbench.view.debug
